year,deaths,population,births,country
1960,89603,7030385,125945,AT
1961,85673,7064693,131563,AT
1962,90854,7107904,133253,AT
1963,91579,7151824,134809,AT
1964,89081,7199798,133841,AT
1965,94273,7247804,129924,AT
1966,91440,7293973,128577,AT
1967,95438,7350159,127404,AT
1968,96014,7403837,126115,AT
1969,98715,7426968,121377,AT
1970,98819,7455142,112301,AT
1971,97334,7479030,108510,AT
1972,95323,7521933,104033,AT
1973,92768,7566469,98041,AT
1974,94324,7605760,97430,AT
1975,96041,7592316,93757,AT
1976,95140,7565489,87446,AT
1977,92402,7565561,85595,AT
1978,94617,7571299,85402,AT
1979,92012,7553310,86388,AT
1980,92442,7545539,90872,AT
1981,92693,7553326,94075,AT
1982,91339,7584094,94840,AT
1983,93041,7564185,90118,AT
1984,88466,7559635,89234,AT
1985,89578,7563233,87440,AT
1986,87071,7566736,86964,AT
1987,84907,7572852,86589,AT
1988,83263,7576319,88052,AT
1989,83407,7594315,88759,AT
1990,82952,7644818,90454,AT
1991,83428,7710882,94629,AT
1992,83162,7798899,95302,AT
1993,82517,7882519,95227,AT
1994,80684,7928746,92415,AT
1995,81171,7943489,88669,AT
1996,80790,7953067,88809,AT
1997,79432,7964966,84045,AT
1998,78339,7971116,81233,AT
1999,78200,7982461,78138,AT
2000,76780,8002186,78268,AT
2001,74767,8020946,75458,AT
2002,76131,8063640,78399,AT
2003,77209,8100273,76944,AT
2004,74292,8142573,78968,AT
2005,75189,8201359,78190,AT
2006,74295,8254298,77914,AT
2007,74625,8282984,76250,AT
2008,75083,8307989,77752,AT
2009,77381,8335003,76344,AT
2010,77199,8351643,78742,AT
2011,76479,8375164,78109,AT
2012,79436,8408121,78952,AT
2013,79526,8451860,79330,AT
2014,78252,8507786,81722,AT
2015,83073,8584926,84381,AT
2016,80669,8700471,87675,AT
2017,83270,8772865,87633,AT
2018,83975,8822267,85535,AT
2019,83386,8858775,84952,AT
2020,91599,8901064,83603,AT
2021,91962,8932664,86078,AT
2022,93332,8978929,82627,AT
